Date,Open,High,Low,Close,Volume
2011-06-13,9.3405,9.4655,9.2430,9.3145,77378000
2011-06-14,9.4495,9.5360,9.3535,9.4980,79206000
2011-06-15,9.4020,9.6225,9.2650,9.2990,126354000
2011-06-16,9.2870,9.3500,9.0795,9.1825,120642000
2011-06-17,9.3255,9.3695,9.2320,9.3185,126444000
2011-06-20,9.2980,9.4425,9.2785,9.3860,56634000
2011-06-21,9.4150,9.7500,9.3560,9.7115,83652000
2011-06-22,9.6980,9.7600,9.5660,9.5815,62594000
2011-06-23,9.4750,9.7230,9.4150,9.7080,92192000
2011-06-24,9.6940,9.7460,9.5675,9.6275,72290000
2011-06-27,9.7250,10.1290,9.7015,10.0625,122014000
2011-06-28,10.0960,10.1440,10.0300,10.1175,76506000
2011-06-29,10.1335,10.3125,10.0515,10.2090,92178000
2011-06-30,10.0390,10.2600,10.0250,10.2245,88962000
2011-07-01,10.2775,10.5135,10.1805,10.4745,80174000
2011-07-05,10.4380,10.7225,10.4365,10.6595,71704000
2011-07-06,10.6060,10.7200,10.5505,10.7095,52152000
2011-07-07,10.7545,10.8900,10.7545,10.8370,62898000
2011-07-08,10.7150,10.9160,10.6625,10.9140,74158000
2011-07-11,10.8370,10.8750,10.5500,10.6275,80674000
2011-07-12,10.7320,10.7825,10.5560,10.5615,79714000
2011-07-13,10.7350,10.8415,10.6070,10.6750,84598000
2011-07-14,10.6790,10.7955,10.4690,10.5190,78050000
2011-07-15,10.6540,10.7265,10.4645,10.6435,81452000
2011-07-18,10.6265,10.6695,10.4145,10.5765,57962000
2011-07-19,10.6885,10.9200,10.6885,10.9030,88744000
2011-07-20,11.0025,11.0100,10.7205,10.7775,67458000
2011-07-21,10.8370,10.8545,10.5535,10.6605,90906000
2011-07-22,10.6930,10.8975,10.5555,10.8260,71834000
2011-07-25,10.7745,10.8040,10.6500,10.6745,66856000
2011-07-26,10.7495,10.7800,10.5175,10.7090,197272000
2011-07-27,11.2195,11.3600,10.9810,11.1260,259112000
2011-07-28,11.1635,11.2975,11.0115,11.1950,107098000
2011-07-29,11.0645,11.2875,10.9755,11.1260,103354000
2011-08-01,11.2500,11.3725,10.8830,11.0660,115786000
2011-08-02,11.0160,11.1215,10.5650,10.5850,131734000
2011-08-03,10.6485,10.7415,10.2770,10.4980,163942000
2011-08-04,10.3365,10.4000,10.0725,10.0740,131590000
2011-08-05,10.2335,10.3660,9.7420,10.1350,200480000
2011-08-08,9.8200,10.0195,9.5025,9.6850,208550000
2011-08-09,9.8350,10.2545,9.5230,10.2545,209824000
2011-08-10,10.0380,10.1200,9.6800,9.7065,175152000
2011-08-11,9.8505,10.0425,9.5680,9.9180,148038000
2011-08-12,10.0140,10.2280,9.8605,10.1150,112408000
2011-08-15,10.1030,10.2640,9.9160,10.1475,95718000
2011-08-16,10.0570,10.0695,9.7375,9.8840,104118000
2011-08-17,9.9265,9.9800,9.6870,9.7965,79822000
2011-08-18,9.5605,9.5670,8.9860,9.1260,165504000
2011-08-19,9.0145,9.5000,8.8775,8.9465,144884000
2011-08-22,9.1415,9.2100,8.8550,8.8770,106274000
2011-08-23,8.9460,9.7420,8.9260,9.6775,147032000
2011-08-24,9.6945,9.8155,9.5085,9.6865,124974000
2011-08-25,9.7205,9.8495,9.5535,9.6015,75216000
2011-08-26,9.5620,9.9860,9.4800,9.9635,106214000
2011-08-29,10.1410,10.3335,10.1275,10.3265,90220000
2011-08-30,10.2890,10.6245,10.2160,10.5460,118314000
2011-08-31,10.6135,10.8085,10.5675,10.7615,148100000
2011-09-01,10.7640,10.8820,10.5810,10.6270,105506000
2011-09-02,10.4470,10.5345,10.3500,10.5000,84640000
2011-09-06,10.2385,10.8300,10.2235,10.8090,124324000
2011-09-07,10.9400,11.0095,10.7110,10.9950,105916000
2011-09-08,10.9150,11.0320,10.8170,10.8630,87958000
2011-09-09,10.7525,10.8480,10.4875,10.5695,91486000
2011-09-12,10.4375,10.8330,10.4325,10.8280,106842000
2011-09-13,10.8895,10.9975,10.7505,10.9765,96718000
2011-09-14,11.0110,11.2495,10.8360,11.1285,117634000
2011-09-15,11.1995,11.3600,11.0625,11.3390,112176000
