Date,Open,High,Low,Close,Volume
2011-06-13,10.8900,11.0200,10.6400,10.9700,186095900
2011-06-14,11.1200,11.1200,10.7500,10.8000,173051000
2011-06-15,10.6000,10.6700,10.4100,10.5000,213408200
2011-06-16,10.4500,10.6900,10.4000,10.6000,200127400
2011-06-17,10.7500,10.7700,10.5800,10.6800,116367000
2011-06-20,10.5900,10.6600,10.5300,10.6000,88402500
2011-06-21,10.6800,10.8700,10.5300,10.8300,109392600
2011-06-22,10.7900,10.9400,10.7800,10.7900,102448600
2011-06-23,10.6500,10.7700,10.5600,10.7100,180604400
2011-06-24,10.7300,10.7700,10.4900,10.5200,122210200
2011-06-27,10.5200,10.9500,10.5200,10.8500,202814500
2011-06-28,10.9100,10.9200,10.7700,10.8200,113027000
2011-06-29,11.1700,11.2500,11.0000,11.1400,301628700
2011-06-30,11.1700,11.1800,10.8400,10.9600,255993900
2011-07-01,10.9800,11.1400,10.9200,11.0900,137487700
2011-07-05,11.0600,11.0700,10.9100,11.0000,110261100
2011-07-06,10.8300,10.8500,10.6600,10.7400,145455700
2011-07-07,10.9000,10.9600,10.8500,10.9200,113940400
2011-07-08,10.7500,10.8000,10.6100,10.7000,129514100
2011-07-11,10.5300,10.5500,10.3000,10.3500,145323900
2011-07-12,10.2700,10.4000,10.2000,10.2100,145156100
2011-07-13,10.2700,10.3600,10.1500,10.2000,164765500
2011-07-14,10.3000,10.3300,10.0600,10.0700,148536100
2011-07-15,10.1200,10.1800,9.8800,10.0000,183416000
2011-07-18,9.8800,9.9300,9.5300,9.7200,226934200
2011-07-19,9.7500,9.8500,9.4000,9.5700,322430300
2011-07-20,9.6600,10.0000,9.6300,9.8500,249783800
2011-07-21,10.0300,10.2800,10.0000,10.2300,238464700
2011-07-22,10.2600,10.2700,10.0500,10.1300,138441500
2011-07-25,9.9700,10.0700,9.8800,10.0100,130582700
2011-07-26,9.9700,10.0900,9.9100,10.0000,121168700
2011-07-27,9.9200,9.9400,9.6800,9.6800,151491700
2011-07-28,9.7200,9.8500,9.6900,9.7900,113623300
2011-07-29,9.6400,9.9500,9.6000,9.7100,187926700
2011-08-01,10.0400,10.0500,9.7000,9.8100,159616700
2011-08-02,9.7600,9.8600,9.4700,9.4900,173972600
2011-08-03,9.4900,9.5900,9.3200,9.5400,175691200
2011-08-04,9.3700,9.4600,8.7700,8.8300,305309300
2011-08-05,8.9700,9.0500,8.0300,8.1700,546781600
2011-08-08,7.4000,7.7000,6.3100,6.5100,682052900
2011-08-09,7.0200,7.6600,6.6800,7.6000,496094500
2011-08-10,7.5300,7.5900,6.7400,6.7700,493986500
2011-08-11,7.1000,7.4200,6.9600,7.2500,344079000
2011-08-12,7.4900,7.7100,7.1300,7.1900,298997800
2011-08-15,7.4600,7.8400,7.3500,7.7600,268370400
2011-08-16,7.6100,7.6600,7.3400,7.4000,275997300
2011-08-17,7.4600,7.5900,7.4000,7.4600,159346200
2011-08-18,7.0500,7.0900,6.7800,7.0100,335205500
2011-08-19,6.8000,7.1200,6.7500,6.9700,289217900
2011-08-22,7.2000,7.2200,6.4200,6.4200,398777800
2011-08-23,6.3700,6.4400,6.0100,6.3000,563788800
2011-08-24,6.3600,7.0500,6.3200,6.9900,602753000
2011-08-25,8.2900,8.8000,7.3800,7.6500,859643400
2011-08-26,7.6200,7.9800,7.4500,7.7600,424194600
2011-08-29,8.1000,8.4100,7.9600,8.3900,363420500
2011-08-30,8.2900,8.3900,8.0500,8.1200,297220400
2011-08-31,8.2800,8.2900,8.1100,8.1700,282263500
2011-09-01,8.1800,8.1800,7.9100,7.9100,243549600
2011-09-02,7.3100,7.4500,7.1700,7.2500,305988600
2011-09-06,6.9100,7.0700,6.8000,6.9900,283101800
2011-09-07,7.2300,7.5200,7.1000,7.4800,257251800
2011-09-08,7.3800,7.4400,7.2000,7.2000,204593600
2011-09-09,7.1100,7.2100,6.9600,6.9800,255828800
2011-09-12,6.8500,7.1000,6.8100,7.0500,286856000
2011-09-13,7.0900,7.1800,6.9700,7.0000,220657500
2011-09-14,7.0900,7.1300,6.9200,7.0500,212940200
2011-09-15,7.1800,7.3400,7.1300,7.3300,230299700
2011-09-16,7.3800,7.3900,7.0800,7.2300,240523700
2011-09-19,7.0600,7.0700,6.9400,6.9900,199254700
2011-09-20,7.0400,7.0600,6.9000,6.9000,142828700
2011-09-21,6.9500,6.9700,6.3600,6.3800,381953600
