Date,Open,High,Low,Close,Volume
2011-06-13,100.0400,100.5100,98.0700,98.9300,7999300
2011-06-14,100.0200,101.2900,99.8900,100.6000,7353400
2011-06-15,99.2000,99.9100,97.7100,98.4100,9665600
2011-06-16,98.0600,99.6600,97.8100,99.4300,7786300
2011-06-17,100.2300,100.8400,98.7300,99.1700,12029500
2011-06-20,98.8800,100.2000,98.6500,99.9100,6427200
2011-06-21,100.5400,101.9800,100.3200,101.5900,8499500
2011-06-22,101.2700,102.4600,101.0000,101.0700,6592500
2011-06-23,98.9000,99.5500,97.0000,99.3600,13058800
2011-06-24,99.5400,99.7400,97.8100,97.9000,8032400
2011-06-27,97.9400,99.6400,97.9400,98.9000,7130200
2011-06-28,99.5300,100.6000,99.3000,100.3500,6113800
2011-06-29,100.6900,101.7100,99.9100,101.2800,7637700
2011-06-30,101.7900,102.9400,101.2800,102.8400,7697700
2011-07-01,102.7100,104.1900,102.0100,104.0900,6579700
2011-07-05,104.1100,105.7600,104.1100,105.1200,7392200
2011-07-06,104.8200,105.2400,104.5700,105.0800,6196300
2011-07-07,106.0800,106.9200,105.8000,106.5900,7878100
2011-07-08,105.4500,106.0000,105.0700,105.8900,6334900
2011-07-11,104.4300,104.6400,103.7500,104.4100,6975400
2011-07-12,103.9900,105.9500,103.9900,104.3900,9158300
2011-07-13,104.7400,106.6100,104.7200,105.0900,6871100
2011-07-14,105.7000,106.4700,104.5700,104.6700,7279600
2011-07-15,105.6800,106.3000,105.1400,106.1900,10160500
2011-07-18,105.5800,106.5000,105.1100,106.2300,6951000
2011-07-19,106.4900,107.8000,106.4900,107.4800,6987600
2011-07-20,107.5100,107.6500,106.8800,107.1000,5044900
2011-07-21,107.8800,109.7500,107.7600,109.4300,8319200
2011-07-22,109.3900,109.6600,108.8200,108.9700,5413700
2011-07-25,107.5500,109.0000,107.4600,108.1000,6284400
2011-07-26,107.9100,108.4700,107.3400,107.5700,4864800
2011-07-27,106.9700,107.0000,105.4700,105.6300,7412700
2011-07-28,105.1500,105.8500,104.4300,105.0300,6655300
2011-07-29,103.7200,105.2300,103.0700,104.0200,9697600
2011-08-01,106.0800,106.1300,103.9200,105.3800,9309400
2011-08-02,104.7200,105.7000,103.4300,103.4500,10396300
2011-08-03,103.5300,103.7400,100.8700,102.7600,12027400
2011-08-04,100.7800,100.9800,96.5100,96.8400,20541200
2011-08-05,98.0300,99.3400,93.8200,97.6100,17596200
2011-08-08,94.2800,95.7900,89.7500,90.2500,23079600
2011-08-09,91.6000,93.7100,87.3000,93.4000,21012700
2011-08-10,92.7100,93.8500,89.7400,90.5700,18069500
2011-08-11,92.0700,95.1400,90.7800,94.0700,30717300
2011-08-12,95.6400,97.0500,94.9200,95.8600,13364100
2011-08-15,97.0000,99.2300,96.7900,99.1000,11857000
2011-08-16,97.9900,99.2800,97.1500,98.1400,9842900
2011-08-17,98.4100,99.0900,97.1100,97.6800,8594800
2011-08-18,95.1400,95.3800,91.7500,93.2400,15083800
2011-08-19,92.0900,95.3600,92.0800,93.2900,13452700
2011-08-22,96.5500,96.5500,92.9500,93.3000,10071000
2011-08-23,93.9200,97.3800,93.4600,97.3300,12301000
2011-08-24,96.8300,97.7600,96.0700,97.5900,7642500
2011-08-25,98.0500,98.5200,95.2900,95.9600,9812400
2011-08-26,94.6800,97.3500,93.3600,96.8500,9216600
2011-08-29,98.2800,98.7600,96.5800,98.7400,9724900
2011-08-30,97.9700,98.9800,96.7400,98.4000,9202500
2011-08-31,98.8500,99.7200,98.0800,98.8400,11242000
2011-09-01,99.0100,100.4800,98.5000,98.5200,10121400
2011-09-02,96.3100,97.0600,95.0700,96.4100,8976700
2011-09-06,93.5800,95.8000,92.7500,95.6100,10276800
2011-09-07,98.2700,99.4400,97.8600,99.2900,10572800
2011-09-08,98.8900,100.5800,98.0000,98.4100,9603600
2011-09-09,97.0100,97.3900,94.7800,95.1900,13346600
2011-09-12,93.9400,95.9300,93.1600,95.9100,13616300
2011-09-13,96.7600,96.8400,94.6300,95.9300,11453800
2011-09-14,96.3100,99.0000,95.1500,97.3100,11325600
2011-09-15,98.7200,99.5000,98.0600,99.2600,9241200
2011-09-16,100.0000,100.1600,98.2900,99.6300,13862000
2011-09-19,97.1900,99.3400,96.6000,98.7100,8522500
2011-09-20,99.2800,99.7400,97.7400,97.7900,8660500
2011-09-21,97.2100,97.7800,94.1400,94.2700,9267200
2011-09-22,90.9100,91.5100,88.5900,90.1700,16685800
2011-09-23,90.1300,90.8400,88.5600,90.0100,12228200
2011-09-26,90.6500,91.6500,88.7600,91.4900,11899200
2011-09-27,94.1600,95.3500,93.0500,93.5400,11079800
2011-09-28,93.9900,95.3300,91.5400,91.7400,10338300
2011-09-29,94.1900,94.4800,92.3200,94.3900,10104100
2011-09-30,92.9600,94.8000,92.5200,92.5900,11918800
2011-10-03,91.9300,92.7700,89.8500,89.8800,11384300
2011-10-04,88.7200,91.8400,86.6800,91.4800,15398100
2011-10-05,92.1400,94.7400,91.0300,94.6600,13057500
2011-10-06,93.3800,94.8100,92.7200,94.6100,10169500
2011-10-07,95.6700,95.7300,93.6600,94.4000,10534600
2011-10-10,96.1300,98.2400,96.0900,98.2000,7490300
2011-10-11,97.2100,98.6400,97.1500,97.6000,7613500
2011-10-12,98.1100,98.7500,96.6900,97.7800,8868800
2011-10-13,96.6200,98.1000,96.2500,97.7900,6507900
2011-10-14,98.9700,100.5600,98.8500,100.4700,7365100
2011-10-17,99.9100,100.2500,98.4000,98.6100,6576400
2011-10-18,99.0300,104.1500,97.9700,102.9500,12165700
2011-10-19,102.6900,104.0800,101.7100,102.2400,8651800
2011-10-20,102.6800,103.6600,101.7200,103.3900,8710100
2011-10-21,104.5000,105.8400,104.2100,105.5300,10884100
2011-10-24,105.5000,106.8700,105.2700,106.2700,7911500
2011-10-25,106.6200,106.9100,104.3300,104.5000,8452200
2011-10-26,106.0800,106.8400,104.4600,106.7700,9959400
2011-10-27,107.8400,110.0100,107.6200,108.9700,14393600
2011-10-28,108.8500,109.9900,107.2600,109.6400,10341300
2011-10-31,107.7200,108.0000,105.0500,105.0500,11457800
2011-11-01,101.4700,103.6800,100.7900,102.0800,15213300
2011-11-02,103.9600,104.9300,103.1400,104.5400,8393400
2011-11-03,105.8400,106.3500,104.7000,106.1300,9276200
2011-11-04,105.7500,106.6000,104.4800,106.4300,8402700
2011-11-07,106.6500,108.5300,105.5400,107.7200,7821800
2011-11-08,108.2700,109.0000,106.5000,108.8600,7761400
2011-11-09,105.8000,106.4900,103.8800,104.2800,12062000
2011-11-10,105.3200,106.0100,103.5000,105.5000,10025200
2011-11-11,106.6900,107.5200,106.6100,107.0500,6352600
2011-11-14,106.2000,106.7400,105.3800,106.1700,5531200
2011-11-15,106.2300,107.3300,102.5800,103.2700,24328000
2011-11-16,102.5100,103.4200,100.7400,101.0500,12581000
2011-11-17,100.7500,102.1300,98.7500,100.0800,11794300
2011-11-18,100.5200,101.5000,97.5200,97.8800,13668700
2011-11-21,96.9200,96.9400,94.4500,95.6600,15021100
2011-11-22,95.6800,97.2500,95.0000,96.4200,8939500
2011-11-23,95.4200,95.5800,93.7500,93.7500,11665200
2011-11-25,94.0300,94.4500,92.2900,92.2900,5257300
2011-11-28,96.0300,96.3500,95.0000,95.7700,8403100
2011-11-29,95.9600,98.0500,95.7500,97.3900,8845100
2011-11-30,100.5000,102.8200,100.1100,102.8200,13373200
2011-12-01,102.8200,103.0000,100.9600,101.8300,7007200
2011-12-02,103.0400,103.1900,101.5000,101.6900,6638100
2011-12-05,103.5800,104.0000,102.0400,102.8200,6121800
2011-12-06,103.1000,104.7300,102.8400,104.3600,7445000
2011-12-07,104.2200,105.7400,103.9700,104.5200,10323300
2011-12-08,104.0000,104.8000,101.9500,102.2500,7720100
2011-12-09,102.7400,104.5000,102.7100,104.2500,6624100
2011-12-12,104.0200,104.2300,101.5000,103.0700,7595800
2011-12-13,104.2200,105.8900,103.1000,103.6200,8990000
2011-12-14,102.7500,104.0200,99.5100,100.5300,15512100
2011-12-15,101.2300,101.6000,99.3200,99.6700,9667000
2011-12-16,100.3200,100.8600,99.5900,100.8600,14709700
2011-12-19,101.1600,101.3300,99.5000,99.7200,5977400
2011-12-20,101.9400,103.8500,101.7800,103.6700,7278600
2011-12-21,103.6800,105.5300,103.5500,105.4300,8156600
2011-12-22,105.5100,106.5800,105.0600,106.3100,7483800
2011-12-23,106.6300,107.6100,106.1000,107.5000,3779400
2011-12-27,107.2600,108.4900,107.2600,107.9800,4136200
2011-12-28,107.8600,108.1600,105.8800,105.9600,5307900
2011-12-29,106.3800,107.5600,106.3200,107.4700,4468500
2011-12-30,106.7900,107.5000,106.1800,106.4000,5009400
2012-01-03,108.7400,110.9900,108.7300,110.3700,11518700
2012-01-04,109.8300,110.3700,109.2000,110.1800,8019100
2012-01-05,109.3900,109.5400,107.9700,109.1000,7184900
2012-01-06,109.4100,109.6100,108.0900,108.3100,8214900
2012-01-09,108.2400,109.6700,108.0300,109.4900,7118800
2012-01-10,110.1200,110.6600,108.9000,109.0600,7641800
2012-01-11,108.5100,108.6500,107.1300,107.7700,7802500
2012-01-12,104.5200,106.0400,104.5200,104.9700,11897200
2012-01-13,104.6200,106.1500,103.5100,106.0900,8266900
2012-01-17,107.2700,107.9800,106.0300,106.7200,6925300
2012-01-18,106.0000,106.9400,105.2000,106.8300,6581400
2012-01-19,107.2100,107.5000,105.8200,106.9300,5666100
2012-01-20,106.9500,107.2000,106.2500,106.8900,7284600
2012-01-23,106.9900,107.5000,106.5600,107.0100,6506700
2012-01-24,106.4500,107.0900,106.1800,106.7200,5041400
2012-01-25,106.3700,108.0000,105.0900,107.7300,8020700
2012-01-26,108.0300,108.5700,106.3500,106.5900,7000400
2012-01-27,104.3900,104.6700,103.1200,103.9600,10581500
2012-01-30,103.4000,103.5000,102.0800,103.4100,7615700
2012-01-31,104.6100,104.7800,102.4000,103.1200,8320100
2012-02-01,104.4200,104.4200,102.6800,102.7900,7824500
2012-02-02,103.0300,103.9600,102.8800,103.6900,5897200
2012-02-03,104.9100,105.6000,104.4800,105.5000,6818600
2012-02-06,104.6200,106.7600,104.3700,106.6700,6443600
2012-02-07,106.0200,107.0600,105.4400,106.8300,6034700
2012-02-08,107.2700,107.5000,106.0900,106.7600,5383700
2012-02-09,107.1800,107.4100,106.0700,106.3700,4751400
2012-02-10,105.1900,105.5200,104.5800,105.2800,6136800
2012-02-13,106.1600,106.5300,105.4500,106.3800,4695500
2012-02-14,106.2500,106.5300,105.5700,106.4900,5974800
2012-02-15,106.2400,106.2400,104.5900,105.0000,6553800
2012-02-16,105.5200,106.5700,104.8000,106.5200,5733900
2012-02-17,107.0200,107.2400,106.0400,106.6600,5666500
2012-02-21,107.5100,108.5000,107.4400,108.4100,7149000
2012-02-22,108.1600,108.5600,107.2000,107.5000,7150000
2012-02-23,107.5400,108.5000,107.3200,108.3500,5504800
2012-02-24,108.8000,109.4000,108.5000,109.0800,5833300
2012-02-27,108.2900,110.2200,108.2800,109.6300,7723400
2012-02-28,109.6800,110.4000,109.1800,109.6100,9132500
2012-02-29,110.4000,110.9200,108.9200,109.1200,10572800
2012-03-01,109.1700,110.1400,109.1000,109.7600,5980100
2012-03-02,109.5000,109.8700,109.0000,109.6100,5377100
2012-03-05,109.1400,109.4500,108.1400,109.3200,5941500
2012-03-06,108.1400,109.0300,108.0000,108.8500,7480800
