Date,Open,High,Low,Close,Volume
2011-06-13,38.6300,38.8600,38.3500,38.3700,9253400
2011-06-14,38.6800,38.8600,38.5100,38.5900,10074600
2011-06-15,38.3800,38.8200,38.2400,38.3900,10716200
2011-06-16,38.3700,38.4700,37.7700,38.0100,11806900
2011-06-17,38.3100,38.3700,37.9800,38.0400,12658300
2011-06-20,37.8500,38.2700,37.6500,38.2300,8746200
2011-06-21,38.4500,38.8900,38.2500,38.7800,7815000
2011-06-22,38.5600,38.7700,38.2800,38.3100,8543700
2011-06-23,37.8800,37.9300,37.1900,37.8200,11874100
2011-06-24,37.9100,38.0200,37.3900,37.5800,13425400
2011-06-27,37.6200,38.4200,37.4700,38.0700,8258400
2011-06-28,38.1700,38.4500,37.7900,37.9200,11912700
2011-06-29,38.1100,38.4300,37.7300,38.3500,9614100
2011-06-30,38.5000,39.1200,38.3500,39.0400,10049800
2011-07-01,39.1500,39.8600,39.0300,39.7200,9245300
2011-07-05,39.7700,40.1800,39.6000,39.9700,9446200
2011-07-06,39.9500,39.9500,39.2700,39.5700,11435800
2011-07-07,39.8500,40.0600,39.7300,39.7400,10227600
2011-07-08,39.9800,39.9800,39.2000,39.9100,11795100
2011-07-11,39.4900,39.5400,39.0800,39.2200,9785500
2011-07-12,39.3400,39.5200,39.0300,39.1500,11311000
2011-07-13,39.2500,39.8300,39.0900,39.5600,12361400
2011-07-14,39.5300,39.8400,39.3900,39.5800,13294000
2011-07-15,39.7200,39.8200,38.9800,39.2700,18304900
2011-07-18,39.1200,39.1200,38.4600,38.7500,11309600
2011-07-19,39.0400,39.7300,38.9900,39.5400,7987500
2011-07-20,39.5800,39.8500,39.2800,39.3600,6126400
2011-07-21,39.6900,40.8700,39.6700,40.7400,13473000
2011-07-22,40.7800,40.9700,40.5400,40.6500,7723300
2011-07-25,40.2500,40.8900,40.1600,40.5600,6840900
2011-07-26,40.3800,40.8100,40.3700,40.5100,9292900
2011-07-27,40.3500,40.3700,39.4200,39.5200,10736600
2011-07-28,39.4600,39.8300,39.1900,39.4000,11028100
2011-07-29,39.0500,39.3100,38.5000,38.6200,16049700
2011-08-01,38.7300,38.7500,37.8200,38.4400,11497500
2011-08-02,38.0600,38.4300,36.9300,36.9700,13652300
2011-08-03,36.9400,37.5000,36.4700,37.4300,11804500
2011-08-04,36.8500,36.8900,35.2600,35.3500,19369200
2011-08-05,35.7900,35.9500,34.4000,35.1800,22781900
2011-08-08,34.0600,34.5700,33.0300,33.0300,25923500
2011-08-09,33.4700,34.7500,32.3100,34.7000,31836700
2011-08-10,31.8400,32.2700,29.6000,31.5400,87048500
2011-08-11,31.8300,33.0800,31.8100,32.1200,36389500
2011-08-12,32.7600,33.5600,32.4400,33.0900,24426900
2011-08-15,33.4300,33.8000,33.0900,33.6500,17839100
2011-08-16,33.1200,33.6700,32.7500,33.4200,18558300
2011-08-17,33.6100,33.7500,32.8400,33.3700,12741000
2011-08-18,32.4700,32.6900,32.1700,32.5500,23724700
2011-08-19,31.9500,32.9800,31.8200,31.8500,19006700
2011-08-22,32.4200,32.6500,31.9400,32.0200,15000100
2011-08-23,32.0700,32.1100,31.3300,32.1100,30417400
2011-08-24,32.0100,32.5800,31.7300,32.5100,12595700
2011-08-25,32.5300,32.8300,31.8800,32.0100,10799000
2011-08-26,32.1200,32.6400,31.3600,32.4000,11247100
2011-08-29,32.7200,33.1700,32.6100,33.1600,8397500
2011-08-30,33.1200,33.8700,32.8200,33.5800,14060100
2011-08-31,33.8500,34.3200,33.7400,34.0600,12282000
2011-09-01,34.0900,34.3300,33.3400,33.3800,10224700
2011-09-02,32.8400,33.0400,32.4100,32.4600,9144700
