Date,Open,High,Low,Close,Volume
2011-06-13,136.1300,137.9700,135.9200,137.5300,5272900
2011-06-14,138.2000,138.9500,136.5400,137.1000,5849900
2011-06-15,136.0700,137.5900,134.0100,134.8500,5715200
2011-06-16,134.6300,136.8900,134.1500,136.0900,5230700
2011-06-17,137.8300,138.7900,137.2100,137.2300,6758300
2011-06-20,136.4200,136.7300,134.3600,135.1400,4019900
2011-06-21,135.5000,137.1900,134.3000,135.9600,4213300
2011-06-22,135.5900,137.7800,134.4300,134.5200,4224400
2011-06-23,133.1000,133.8300,131.6400,132.3600,6706600
2011-06-24,132.8100,133.4500,130.8200,130.9100,5774800
2011-06-27,130.7500,131.8600,129.8000,130.7100,5831800
2011-06-28,131.3400,131.3400,128.3000,129.2600,8056000
2011-06-29,129.7300,133.2300,129.5000,132.5300,8170800
2011-06-30,133.0500,133.8000,131.5000,133.0900,4980900
2011-07-01,133.4300,136.7200,133.0900,136.6500,5103500
2011-07-05,135.9000,136.0500,133.0000,134.5000,4458300
2011-07-06,133.7800,134.4400,132.8200,133.8900,3029100
2011-07-07,135.0900,136.2000,134.7200,135.0100,3857500
2011-07-08,133.3200,134.4000,133.1700,134.0800,4141600
2011-07-11,132.7500,133.4300,131.0700,132.0200,4722900
2011-07-12,131.4200,132.6600,130.1000,130.3100,4330900
2011-07-13,130.7400,131.7700,129.7000,129.9200,4410500
2011-07-14,131.7000,132.2000,129.7500,129.8900,5357200
2011-07-15,131.3100,131.5100,129.1800,130.1600,5255100
2011-07-18,129.5800,130.1600,127.5000,129.3300,5836500
2011-07-19,125.7300,129.9300,125.5000,128.4900,15297700
2011-07-20,128.0000,133.8000,127.5800,132.7500,8578300
2011-07-21,133.5200,135.9800,133.2500,135.5800,7671000
2011-07-22,135.0300,136.4700,134.4400,135.4900,4925500
2011-07-25,134.1700,137.1300,133.5000,136.8500,5856700
2011-07-26,136.6100,139.2500,136.0200,137.6000,5464700
2011-07-27,136.7900,137.2500,134.4400,134.7200,5250000
2011-07-28,134.9700,138.1300,134.6500,135.8400,4429700
2011-07-29,134.1000,136.6000,133.1300,134.9700,5340300
2011-08-01,136.9200,137.3400,133.7500,134.1500,5880700
2011-08-02,132.0800,134.7600,131.1800,131.2300,7594500
2011-08-03,131.3500,133.2700,130.7100,132.0800,6499400
2011-08-04,130.8400,131.8900,126.2100,126.2300,8193300
2011-08-05,127.7500,129.2300,122.3500,125.1800,11167300
2011-08-08,122.0800,125.4400,112.1100,117.6600,17378000
2011-08-09,120.5100,123.1500,111.6000,122.7300,15913400
2011-08-10,119.5800,119.6700,110.0400,110.3400,18592000
2011-08-11,112.9400,119.7500,112.2500,118.1000,11842200
2011-08-12,119.8200,120.8800,115.2900,116.4700,9607900
2011-08-15,117.5700,119.7000,116.0000,119.1300,7257200
2011-08-16,117.6000,119.7800,115.5000,116.8700,7413100
2011-08-17,117.3600,118.7500,116.5500,117.2500,4828600
2011-08-18,112.1500,114.5000,112.0400,113.1400,9284600
2011-08-19,111.8700,115.3000,111.1100,111.7600,6829000
2011-08-22,114.1700,114.4900,105.1000,106.5100,11286600
2011-08-23,106.0200,108.8000,103.1600,106.8600,24482500
2011-08-24,106.9000,110.7400,106.3900,110.3100,10169800
2011-08-25,114.5100,118.1000,108.1100,109.8400,11939500
2011-08-26,108.6300,112.5800,107.7200,111.7500,7355700
2011-08-29,113.6500,116.5400,112.3300,116.0700,5177900
2011-08-30,115.3300,116.0000,113.2500,115.1800,5298800
2011-08-31,115.4000,117.8000,114.6700,116.2200,6488100
2011-09-01,115.5500,115.5500,111.6000,112.1600,9855500
2011-09-02,108.5800,109.2400,105.8000,107.0600,8380900
2011-09-06,103.6700,105.6000,103.4300,104.5600,7749300
2011-09-07,106.0000,108.7900,105.0000,108.3400,6526400
2011-09-08,107.1300,108.0000,104.7400,104.7900,6508800
2011-09-09,104.3800,105.8200,102.2200,102.2500,8613700
2011-09-12,100.7900,103.0000,99.7800,102.9200,8769600
2011-09-13,103.4100,105.1800,101.5000,104.0900,7119200
2011-09-14,104.9100,105.8800,103.5300,104.5400,6602200
2011-09-15,105.1700,108.1900,105.1000,107.9700,6354500
2011-09-16,109.0700,109.6600,105.9100,107.4900,7999300
2011-09-19,105.3200,105.6000,103.2500,104.8100,5821600
2011-09-20,105.0000,105.2700,102.5300,102.6100,4978100
2011-09-21,102.8100,102.8300,97.7200,97.8600,8586100
2011-09-22,95.9600,96.0300,91.4000,93.9800,12381300
2011-09-23,92.8400,96.5200,92.8000,95.1800,17489100
2011-09-26,96.1900,99.7300,95.0000,99.1400,7038600
2011-09-27,101.2000,104.0800,98.7800,99.5500,8583800
2011-09-28,99.9800,100.8100,96.2100,96.3200,5676800
2011-09-29,98.6500,99.9800,97.2000,99.8700,5949200
2011-09-30,98.2800,98.4000,94.4600,94.5500,5780200
2011-10-03,93.7400,95.7200,89.8800,90.0800,7745200
2011-10-04,88.3200,95.2200,84.2700,94.5800,12000000
2011-10-05,93.8700,95.5400,90.8200,94.2900,8455400
2011-10-06,94.0000,98.0000,91.7600,97.9300,7604000
2011-10-07,98.0700,98.0700,92.2500,92.6900,7636900
2011-10-10,94.9200,96.3900,93.9500,96.1400,6123500
2011-10-11,94.5600,98.8100,94.0000,96.7000,7065300
2011-10-12,98.2000,101.1300,96.3900,99.1100,8237900
2011-10-13,97.8700,98.0200,94.5200,96.1500,6571500
2011-10-14,96.7900,97.8400,94.6500,96.7300,5557400
