Date,Open,High,Low,Close,Volume
2011-06-13,66.3200,66.9600,66.2600,66.5900,8146200
2011-06-14,66.9500,67.3600,66.7500,67.1000,11389100
2011-06-15,67.0000,67.0000,65.7100,66.1600,12623500
2011-06-16,65.7000,66.3500,65.4700,66.3200,11683900
2011-06-17,66.6300,66.9500,66.1900,66.2900,14336400
2011-06-20,66.0800,66.7400,66.0700,66.5100,9309200
2011-06-21,66.5200,66.7500,66.1600,66.4900,9811500
2011-06-22,66.4700,66.6200,66.0500,66.0700,7988100
2011-06-23,65.5400,65.7400,64.6900,65.6700,16234800
2011-06-24,65.5700,65.6100,64.8300,65.0600,13186200
2011-06-27,65.2900,65.6100,65.0000,65.2500,7199500
2011-06-28,65.5900,66.1200,65.3800,65.9100,7724600
2011-06-29,66.2300,66.5900,65.9300,66.3100,9227000
2011-06-30,66.4200,66.9100,66.2500,66.5200,9747200
2011-07-01,66.4800,67.3600,66.2700,67.3000,9216500
2011-07-05,67.2900,67.6700,67.2500,67.6200,9773600
2011-07-06,67.6300,67.7500,67.3700,67.5500,7100400
2011-07-07,67.8200,68.0500,67.4000,67.9200,8415200
2011-07-08,67.8100,67.9900,67.1900,67.5700,7866100
2011-07-11,66.8800,67.4100,66.8300,67.2700,8918900
2011-07-12,66.9000,67.6800,66.8300,67.0300,10528700
2011-07-13,67.3900,67.9800,67.2100,67.6300,9031700
2011-07-14,67.6000,67.9300,67.4700,67.6600,9636500
2011-07-15,67.7300,67.9500,66.9900,67.4500,10245100
2011-07-18,67.1700,67.3500,66.5500,67.0900,10361000
2011-07-19,67.1000,67.2200,66.1500,66.7200,13677400
2011-07-20,66.5700,66.9000,66.0600,66.2400,8912600
2011-07-21,66.4500,66.7900,66.1300,66.4700,11394100
2011-07-22,66.6900,66.7900,66.4900,66.7200,7721000
2011-07-25,66.2100,66.4300,66.0100,66.2500,10247700
2011-07-26,66.1700,66.3200,65.8700,65.9200,10008300
2011-07-27,65.7600,65.8700,65.1400,65.2300,12810400
2011-07-28,65.2300,65.6200,64.7800,65.0800,9920400
2011-07-29,64.7400,64.9300,64.1300,64.7900,16829000
2011-08-01,65.2800,65.3300,63.6600,64.4100,15842200
2011-08-02,64.1100,64.3500,63.4300,63.4300,17118300
2011-08-03,63.3700,63.5300,61.8600,63.4100,17660300
2011-08-04,62.6100,63.1600,61.8100,61.8400,23485600
2011-08-05,62.1200,63.4300,61.0500,62.7100,24037800
2011-08-08,61.8000,62.5800,61.0500,61.1200,32423200
2011-08-09,61.7100,62.3700,59.0800,62.2000,36288000
2011-08-10,61.6200,61.9600,60.0100,60.2000,32688900
2011-08-11,60.1800,64.1900,60.1300,63.4400,33514400
2011-08-12,63.6100,63.9900,62.9000,63.3600,42324600
2011-08-15,63.8500,64.6200,63.6100,64.5900,39362000
2011-08-16,63.7700,64.7100,63.6900,64.3600,13142100
2011-08-17,64.5600,64.8500,63.8000,64.2600,11847600
2011-08-18,63.1900,63.5800,62.0200,63.1600,23376400
2011-08-19,62.9100,63.7800,62.7400,63.1400,19394800
2011-08-22,63.9900,64.1000,63.0100,63.2900,13689300
2011-08-23,63.5200,64.9900,63.4200,64.9700,14879000
2011-08-24,65.3800,65.7000,64.8400,65.5300,14523000
2011-08-25,65.4900,65.4900,64.2000,64.5500,13134400
2011-08-26,63.5500,64.5700,62.5000,64.2800,14150600
2011-08-29,64.6400,65.9200,64.5600,65.8600,12867900
2011-08-30,65.8200,66.0400,65.1900,65.7700,11183000
2011-08-31,66.0300,66.2300,65.3400,65.8000,14555300
2011-09-01,65.6600,66.1400,65.1100,65.3300,11141100
2011-09-02,64.8300,65.0000,63.9100,64.0700,13713600
2011-09-06,63.1700,64.7500,62.5000,64.6400,15848300
2011-09-07,65.0400,65.4500,64.6900,65.4300,10759700
2011-09-08,64.9600,65.9300,64.8400,64.9500,15551500
2011-09-09,64.3900,64.4100,63.2900,63.6400,17008200
2011-09-12,63.1000,63.6100,62.3000,63.5900,13448200
2011-09-13,63.9900,64.0500,63.1800,63.6100,11595300
2011-09-14,63.9500,64.4700,62.9800,63.7300,13429500
2011-09-15,64.2800,64.6300,63.9200,64.4000,10625800
2011-09-16,64.5200,64.7400,63.9600,64.5900,15688800
2011-09-19,64.0500,64.3900,63.6300,64.1400,8571800
2011-09-20,64.4200,64.8500,63.7900,64.2200,10874800
2011-09-21,64.1900,64.6000,63.1000,63.1300,10041300
2011-09-22,62.1600,62.6000,61.1400,61.9200,19456900
2011-09-23,61.3000,61.9000,61.0000,61.5900,10983700
2011-09-26,62.0500,62.8500,62.0100,62.6900,10561700
2011-09-27,63.3700,64.3500,62.7100,63.8200,13118200
2011-09-28,63.9000,64.4500,63.1400,63.2500,8964200
2011-09-29,63.9200,64.2400,63.0200,63.9000,8923300
2011-09-30,63.2200,64.7400,63.1500,63.6900,14556100
2011-10-03,63.6500,64.2100,62.0500,62.0800,16891100
2011-10-04,61.5500,62.3300,60.8300,62.1700,18192000
2011-10-05,62.2100,62.5100,61.6000,62.3500,15405200
2011-10-06,62.5200,62.8300,62.1000,62.8100,9595400
2011-10-07,63.0100,63.7200,63.0000,63.1300,12361600
2011-10-10,63.8900,64.4300,63.6400,64.4300,7104000
2011-10-11,64.2600,64.3600,63.8500,63.9600,7628700
2011-10-12,64.1300,64.6900,63.8700,64.3300,9375100
2011-10-13,64.4500,64.4500,63.5700,64.2300,7781100
2011-10-14,64.6900,64.7400,64.1700,64.7200,6678800
2011-10-17,64.4000,64.8400,63.6200,63.7900,10797900
2011-10-18,63.7600,64.7400,63.4000,64.4200,11705300
2011-10-19,64.5100,64.5100,62.1600,62.6400,19964600
2011-10-20,62.9600,63.1300,62.3100,62.5300,11562600
2011-10-21,63.1100,63.8400,62.8900,63.7800,13175400
2011-10-24,63.9000,64.7900,63.6000,64.7300,12552700
2011-10-25,64.5600,64.8300,63.5600,63.6900,10324800
2011-10-26,64.1900,64.6000,63.7900,64.4900,9932100
2011-10-27,64.9900,65.6900,64.7100,65.5000,16450700
2011-10-28,65.6400,65.8500,65.0300,65.6000,10390800
2011-10-31,65.1700,65.8600,64.3800,64.3900,13720400
2011-11-01,63.6800,64.1000,63.1800,63.3800,14749900
2011-11-02,64.3900,64.3900,63.4100,63.6400,10136200
2011-11-03,64.0700,64.5200,63.6700,64.3400,10466000
2011-11-04,64.0000,64.5400,63.4100,64.1200,9725200
2011-11-07,63.9600,64.3400,63.2500,64.0000,8783900
2011-11-08,64.0900,64.9900,63.9500,64.8600,7989500
2011-11-09,64.0700,64.1300,63.1000,63.5300,11072500
2011-11-10,64.1300,64.4200,63.6600,64.1200,7597500
2011-11-11,64.6200,65.4900,64.6200,65.2500,9086800
2011-11-14,64.9700,65.3300,64.6500,64.9100,8276100
2011-11-15,64.9700,65.2900,64.5100,64.9900,10726300
2011-11-16,64.5300,65.1600,64.3000,64.4000,8398100
2011-11-17,64.1700,64.5100,63.3000,63.9400,13924700
2011-11-18,64.1900,64.2000,63.5600,63.8500,12659600
2011-11-21,63.2700,63.3400,62.8800,62.9400,32806700
2011-11-22,62.9500,63.2000,62.7000,62.9000,8680000
