Date,Open,High,Low,Close,Volume
2011-06-13,32.5500,32.6250,32.3950,32.5600,19081600
2011-06-14,32.7000,32.9200,32.6500,32.8050,14045000
2011-06-15,32.7050,32.7500,32.3200,32.4850,16378400
2011-06-16,32.4850,32.8800,32.4000,32.7450,15538800
2011-06-17,32.9400,33.1150,32.8100,32.8100,21317400
2011-06-20,32.6850,33.0700,32.6850,32.9150,11091800
2011-06-21,33.0550,33.1450,32.8850,33.1300,14265000
2011-06-22,33.1450,33.4100,33.0550,33.2000,15701200
2011-06-23,32.9650,32.9850,32.2150,32.4900,26467800
2011-06-24,32.5350,32.6900,32.3600,32.4650,32073800
2011-06-27,32.4250,32.7300,32.4250,32.6050,14777600
2011-06-28,32.7600,33.0500,32.6750,33.0150,12932400
2011-06-29,33.0950,33.4150,33.0900,33.3550,17035400
2011-06-30,33.4900,33.7450,33.4100,33.6450,15594600
2011-07-01,33.5100,34.0450,33.5100,34.0450,16487000
2011-07-05,34.0400,34.3950,34.0400,34.1500,14801200
2011-07-06,34.1550,34.3750,34.1450,34.2650,11486000
2011-07-07,34.4100,34.4450,34.2900,34.3750,12423400
2011-07-08,34.1750,34.3400,34.0600,34.3400,12671600
2011-07-11,33.8750,34.1400,33.8550,34.0500,14152400
2011-07-12,33.9850,34.2200,33.8650,33.9250,13343400
2011-07-13,34.0850,34.2150,33.8850,34.0300,14688000
2011-07-14,33.9850,34.1650,33.6850,33.8350,15011200
2011-07-15,33.9250,33.9350,33.6400,33.7650,17491600
2011-07-18,33.6300,33.7150,33.2950,33.5600,14792000
2011-07-19,33.8500,34.8900,33.7650,34.6600,37415400
2011-07-20,34.6250,34.6700,34.4000,34.4350,15833800
2011-07-21,34.4100,34.8100,34.2500,34.6700,22086600
2011-07-22,34.7750,34.9100,34.7400,34.8650,13323200
2011-07-25,34.5600,34.7800,34.5050,34.6300,13154800
2011-07-26,34.6750,34.7300,34.5450,34.5950,11830600
2011-07-27,34.3850,34.6250,34.2700,34.3450,18677600
2011-07-28,34.3250,34.6400,34.3100,34.4050,15270200
2011-07-29,34.1800,34.4250,33.9500,34.0050,20545600
2011-08-01,34.2500,34.2550,33.5600,33.8650,17654200
2011-08-02,33.7000,33.8050,33.5350,33.5350,18127600
2011-08-03,33.5000,34.2800,33.4750,34.2000,28086000
2011-08-04,33.8850,34.0650,32.8700,32.9100,32324800
2011-08-05,33.1350,33.6300,32.5200,33.3850,43916600
2011-08-08,33.0900,33.6050,32.4750,32.5600,50096800
2011-08-09,32.9100,33.4350,31.7950,33.3400,43128400
2011-08-10,33.1200,33.2500,31.8500,31.9800,38237200
2011-08-11,32.0000,33.6550,31.9550,33.2350,38406600
2011-08-12,33.3800,33.8750,33.2000,33.5700,20310400
