Date,Open,High,Low,Close,Volume
2011-06-13,0.4280,0.4335,0.4220,0.4250,574760000
2011-06-14,0.4288,0.4380,0.4268,0.4285,534576000
2011-06-15,0.4227,0.4252,0.4105,0.4193,935916000
2011-06-16,0.4195,0.4260,0.3988,0.4047,1024908000
2011-06-17,0.4095,0.4098,0.3828,0.3952,1467884000
2011-06-20,0.3918,0.4000,0.3875,0.3905,745960000
2011-06-21,0.3920,0.4020,0.3882,0.3990,704276000
2011-06-22,0.3963,0.4015,0.3927,0.3935,651720000
2011-06-23,0.3885,0.4080,0.3850,0.4053,744024000
2011-06-24,0.4033,0.4067,0.3910,0.3935,529052000
2011-06-27,0.3935,0.3960,0.3715,0.3853,1142152000
2011-06-28,0.3853,0.3920,0.3825,0.3875,692200000
2011-06-29,0.3900,0.3975,0.3765,0.3935,960544000
2011-06-30,0.3945,0.4027,0.3885,0.3985,652300000
2011-07-01,0.3985,0.4053,0.3905,0.4038,540804000
2011-07-05,0.4033,0.4070,0.3935,0.3970,535296000
2011-07-06,0.3968,0.3975,0.3870,0.3918,529580000
2011-07-07,0.3938,0.3957,0.3862,0.3932,986136000
2011-07-08,0.3877,0.3905,0.3825,0.3857,619516000
2011-07-11,0.3785,0.3800,0.3713,0.3722,714388000
2011-07-12,0.3705,0.3740,0.3610,0.3672,867604000
2011-07-13,0.3722,0.3747,0.3630,0.3665,634368000
2011-07-14,0.3680,0.3702,0.3503,0.3520,1088996000
2011-07-15,0.3540,0.3562,0.3453,0.3525,827736000
2011-07-18,0.3498,0.3517,0.3405,0.3450,818200000
2011-07-19,0.3460,0.3562,0.3460,0.3555,602224000
2011-07-20,0.3568,0.3587,0.3500,0.3510,662956000
2011-07-21,0.3515,0.3700,0.3462,0.3675,1143420000
2011-07-22,0.3708,0.3762,0.3660,0.3750,737192000
2011-07-25,0.3692,0.3708,0.3638,0.3690,566920000
2011-07-26,0.3585,0.3675,0.3548,0.3600,698276000
2011-07-27,0.3550,0.3568,0.3455,0.3465,652212000
2011-07-28,0.3453,0.3530,0.3397,0.3458,648176000
2011-07-29,0.3422,0.3490,0.3405,0.3458,677656000
2011-08-01,0.3537,0.3652,0.3507,0.3643,1019620000
2011-08-02,0.3618,0.3845,0.3605,0.3605,1356432000
2011-08-03,0.3613,0.3715,0.3577,0.3702,765236000
2011-08-04,0.3635,0.3635,0.3350,0.3350,979732000
2011-08-05,0.3428,0.3470,0.3150,0.3237,1270588000
2011-08-08,0.3080,0.3190,0.2962,0.2982,1084180000
2011-08-09,0.3040,0.3237,0.3000,0.3232,1329832000
2011-08-10,0.3137,0.3228,0.3067,0.3085,1140052000
2011-08-11,0.3085,0.3397,0.3085,0.3352,1078792000
2011-08-12,0.3710,0.3715,0.3167,0.3220,3195784000
2011-08-15,0.3252,0.3350,0.3235,0.3343,864152000
2011-08-16,0.3305,0.3350,0.3187,0.3248,716868000
2011-08-17,0.3257,0.3313,0.3160,0.3203,553328000
2011-08-18,0.3058,0.3088,0.2950,0.2985,802564000
2011-08-19,0.2935,0.3097,0.2912,0.2932,761332000
2011-08-22,0.3015,0.3050,0.2952,0.2985,611876000
2011-08-23,0.3058,0.3310,0.3052,0.3307,938312000
2011-08-24,0.3300,0.3310,0.3175,0.3260,687500000
2011-08-25,0.3195,0.3252,0.3115,0.3120,690968000
2011-08-26,0.3108,0.3285,0.3052,0.3252,732660000
2011-08-29,0.3345,0.3352,0.3268,0.3340,601528000
2011-08-30,0.3318,0.3447,0.3295,0.3420,684760000
2011-08-31,0.3445,0.3480,0.3300,0.3327,705808000
2011-09-01,0.3372,0.3445,0.3318,0.3320,762312000
2011-09-02,0.3245,0.3290,0.3205,0.3230,471356000
2011-09-06,0.3125,0.3302,0.3095,0.3295,696248000
2011-09-07,0.3562,0.3660,0.3465,0.3562,1606620000
2011-09-08,0.3528,0.3613,0.3487,0.3545,880164000
2011-09-09,0.3515,0.3610,0.3440,0.3470,869828000
2011-09-12,0.3422,0.3582,0.3422,0.3553,916480000
2011-09-13,0.3582,0.3650,0.3528,0.3632,853836000
2011-09-14,0.3728,0.3868,0.3725,0.3820,1547192000
2011-09-15,0.3905,0.3925,0.3840,0.3875,752908000
2011-09-16,0.3882,0.4025,0.3845,0.3865,1391588000
2011-09-19,0.3800,0.3828,0.3688,0.3785,968204000
2011-09-20,0.3832,0.3848,0.3670,0.3688,792436000
2011-09-21,0.3708,0.3772,0.3615,0.3618,715252000
2011-09-22,0.3475,0.3480,0.3313,0.3377,1314632000
2011-09-23,0.3358,0.3545,0.3338,0.3447,1011440000
2011-09-26,0.3490,0.3500,0.3300,0.3455,972124000
2011-09-27,0.3543,0.3573,0.3433,0.3460,781388000
2011-09-28,0.3467,0.3555,0.3300,0.3355,1236532000
2011-09-29,0.3415,0.3473,0.3187,0.3273,866416000
2011-09-30,0.3220,0.3237,0.3122,0.3128,677784000
2011-10-03,0.3088,0.3185,0.2952,0.2952,949896000
2011-10-04,0.2880,0.3225,0.2867,0.3225,1361548000
2011-10-05,0.3217,0.3370,0.3153,0.3340,856708000
2011-10-06,0.3358,0.3483,0.3352,0.3473,773192000
2011-10-07,0.3487,0.3590,0.3415,0.3537,806976000
2011-10-10,0.3598,0.3695,0.3590,0.3695,534376000
2011-10-11,0.3665,0.3725,0.3643,0.3655,816080000
2011-10-12,0.3725,0.3728,0.3650,0.3652,612064000
2011-10-13,0.3635,0.3873,0.3625,0.3865,854832000
2011-10-14,0.3932,0.3972,0.3835,0.3930,702452000
2011-10-17,0.3885,0.3885,0.3715,0.3735,611780000
2011-10-18,0.3715,0.3880,0.3692,0.3870,590916000
2011-10-19,0.3875,0.3943,0.3783,0.3792,557568000
2011-10-20,0.3690,0.3705,0.3460,0.3602,990308000
2011-10-21,0.3647,0.3708,0.3560,0.3620,628428000
2011-10-24,0.3635,0.3812,0.3627,0.3755,535256000
2011-10-25,0.3702,0.3733,0.3605,0.3613,577996000
2011-10-26,0.3683,0.3702,0.3550,0.3655,503116000
2011-10-27,0.3790,0.3850,0.3705,0.3812,577732000
2011-10-28,0.3780,0.3935,0.3770,0.3900,490156000
2011-10-31,0.3775,0.3798,0.3700,0.3700,519984000
2011-11-01,0.3565,0.3575,0.3480,0.3515,790824000
2011-11-02,0.3550,0.3568,0.3383,0.3455,961608000
2011-11-03,0.3492,0.3670,0.3400,0.3663,749372000
2011-11-04,0.3630,0.3717,0.3573,0.3705,654840000
2011-11-07,0.3677,0.3740,0.3600,0.3685,613536000
2011-11-08,0.3733,0.3792,0.3672,0.3770,549728000
2011-11-09,0.3683,0.3730,0.3565,0.3580,532244000
2011-11-10,0.3668,0.3705,0.3528,0.3618,990484000
2011-11-11,0.3720,0.3775,0.3517,0.3745,1751560000
2011-11-14,0.3745,0.3783,0.3663,0.3672,500292000
2011-11-15,0.3638,0.3747,0.3627,0.3720,505660000
2011-11-16,0.3650,0.3747,0.3632,0.3645,512420000
2011-11-17,0.3638,0.3647,0.3450,0.3515,657504000
2011-11-18,0.3535,0.3535,0.3445,0.3483,501352000
2011-11-21,0.3428,0.3692,0.3375,0.3658,1330788000
2011-11-22,0.3697,0.3790,0.3677,0.3770,1287480000
