Date,Open,High,Low,Close,Volume
2011-06-13,64.6500,65.1800,64.5100,64.7700,8873100
2011-06-14,65.0300,65.2200,64.6600,64.7600,7240100
2011-06-15,64.5100,64.5200,63.3300,63.7600,11790300
2011-06-16,63.8700,64.3300,63.5000,64.2600,8894300
2011-06-17,64.6500,65.1200,64.5300,64.6900,10057200
2011-06-20,64.5100,65.2900,64.5100,65.0900,5911700
2011-06-21,65.2400,65.2400,64.1600,64.2200,11024200
2011-06-22,64.0800,64.4300,63.8700,64.0600,9107100
2011-06-23,63.7300,63.7300,62.8000,63.4600,11693900
2011-06-24,63.4500,63.5000,62.4400,62.5900,15278300
2011-06-27,62.7600,63.2500,62.6300,62.8200,6705500
2011-06-28,63.1100,63.3400,62.5300,62.7200,8551500
2011-06-29,62.8700,62.9000,62.3600,62.5500,11386200
2011-06-30,62.7300,63.6500,62.5800,63.5700,11807400
2011-07-01,63.4700,64.4400,63.3400,64.2700,9700500
2011-07-05,64.1000,64.5000,63.9500,64.2600,9224100
2011-07-06,64.5300,64.9400,64.3400,64.7000,9334700
2011-07-07,64.9800,65.1400,64.7200,64.9500,8973600
2011-07-08,65.0400,65.1100,64.5300,64.9300,9227800
2011-07-11,64.2900,64.7400,64.2600,64.7200,9206700
2011-07-12,64.4800,65.0600,64.3900,64.5300,11583700
2011-07-13,64.8400,65.0200,64.4900,64.6400,9154200
2011-07-14,64.5500,64.8000,64.3600,64.6000,13269400
2011-07-15,64.6800,64.8500,64.3300,64.8300,20588800
2011-07-18,64.6900,64.7900,64.2800,64.5500,13343700
2011-07-19,64.6000,64.7900,64.3200,64.6100,8393800
2011-07-20,64.2600,64.4400,64.0400,64.2000,13089600
2011-07-21,64.3500,64.8500,64.2400,64.4900,8564400
2011-07-22,64.4600,64.7400,64.1400,64.2500,6047200
2011-07-25,63.9600,63.9800,63.2200,63.3100,8801200
2011-07-26,63.4700,63.7000,63.0800,63.0900,8715200
2011-07-27,63.0300,63.1200,62.1500,62.2000,11165200
2011-07-28,62.1600,62.4300,61.8500,61.9200,7535600
2011-07-29,61.6800,62.1800,61.4900,61.4900,10380300
2011-08-01,62.1600,62.3100,61.0000,61.4300,10103800
2011-08-02,61.1300,61.3500,60.7500,60.8700,9609000
2011-08-03,60.7600,60.9900,60.4900,60.7300,13107900
2011-08-04,60.3700,61.0000,59.5000,59.5800,17790100
