Date,Open,High,Low,Close,Volume
2011-06-13,54.6700,54.9300,54.4500,54.6400,37736800
2011-06-14,55.0600,55.4700,55.0300,55.3400,40565300
2011-06-15,54.8100,55.1500,54.1800,54.2900,59022400
2011-06-16,54.3200,54.5000,53.6200,54.0800,66316200
2011-06-17,54.4000,54.6000,53.6300,53.7900,70337000
2011-06-20,53.6400,54.2300,53.6400,54.0700,37402900
2011-06-21,54.2600,55.2900,54.0300,55.2300,55892800
2011-06-22,55.0000,55.3200,54.8200,54.8300,36833300
2011-06-23,54.2400,55.3700,54.0600,55.3400,80743300
2011-06-24,55.0800,55.1300,54.2700,54.3800,56298300
2011-06-27,54.4400,55.5300,54.3200,55.2500,49968900
2011-06-28,55.3700,56.0800,55.2900,56.0700,47028800
2011-06-29,56.2000,56.4100,55.9000,56.3000,65407300
2011-06-30,56.5000,57.0900,56.4700,57.0500,50347200
2011-07-01,57.0800,57.9900,56.9200,57.9100,53203900
2011-07-05,57.9700,58.2600,57.8300,58.2000,43128800
2011-07-06,58.1300,58.4900,57.9400,58.3900,49282700
2011-07-07,58.8300,59.3600,58.7400,59.1900,54799800
2011-07-08,58.6800,59.0400,58.3700,59.0300,69519500
2011-07-11,58.4100,58.7100,57.7600,57.9600,52080800
2011-07-12,57.9500,58.0700,57.4600,57.5200,84000700
2011-07-13,57.9400,58.3400,57.5500,57.7600,82378100
2011-07-14,57.9100,58.1800,56.8700,57.0900,98774200
2011-07-15,57.7300,57.8500,57.3100,57.8500,68281500
2011-07-18,57.5300,57.7900,56.9800,57.5400,59512200
2011-07-19,58.0900,58.9000,58.0900,58.8500,73904600
2011-07-20,59.1800,59.1900,58.5000,58.6000,57085500
2011-07-21,58.6600,59.3200,58.3400,58.9900,70148800
2011-07-22,58.9600,59.7000,58.9200,59.6000,43620400
2011-07-25,59.1300,59.8100,59.0200,59.4800,48916100
2011-07-26,59.4400,59.8300,59.3200,59.6300,40918900
2011-07-27,59.2400,59.2900,57.9400,58.0900,83969500
2011-07-28,58.1200,58.9300,57.8900,58.1900,61031900
2011-07-29,57.7200,58.6100,57.4400,58.0000,82860500
2011-08-01,58.7000,58.8200,57.0300,57.7300,85421100
2011-08-02,57.4600,57.7200,56.2100,56.2700,90853300
2011-08-03,56.3400,56.8800,55.3500,56.8100,103612300
2011-08-04,56.0000,56.0900,54.1700,54.1700,132830000
2011-08-05,54.7200,55.0300,52.3200,53.8300,214111800
2011-08-08,52.1800,53.1200,50.5900,50.5900,204804500
2011-08-09,51.3500,53.0800,49.9300,53.0300,193707100
2011-08-10,51.8300,53.0400,50.8000,50.8600,205917900
2011-08-11,51.5900,53.6900,51.3400,53.1000,143825300
2011-08-12,53.4300,53.9000,52.8800,53.5700,90483300
2011-08-15,53.7900,54.3600,53.5300,54.3600,73554300
2011-08-16,53.8300,54.3500,53.1800,53.9000,89219200
2011-08-17,53.9700,54.4200,53.0200,53.5800,84416600
2011-08-18,52.1300,52.1400,50.4800,50.9500,130019400
2011-08-19,50.4200,51.6700,49.9900,50.0300,96674600
2011-08-22,51.2300,51.2400,50.0600,50.2100,77107700
2011-08-23,50.5500,52.2800,50.3400,52.2800,75688400
2011-08-24,52.1300,52.7900,51.7100,52.6900,80197700
2011-08-25,52.6600,52.9000,51.6500,51.8300,93623700
2011-08-26,51.6600,53.3100,51.1500,53.1300,91573300
2011-08-29,53.6600,54.6700,53.6400,54.6100,45985800
2011-08-30,54.4100,55.3000,54.1100,54.9700,61617900
2011-08-31,55.3000,55.7400,54.6000,55.0600,60900400
2011-09-01,55.2000,55.6400,54.4600,54.5600,57158400
2011-09-02,53.5800,54.6100,52.9900,53.2800,58185700
2011-09-06,52.0400,53.3700,51.9100,53.2900,52992200
2011-09-07,54.0500,54.6500,53.9000,54.6400,48952200
2011-09-08,54.3600,55.1700,54.2100,54.3900,61422800
2011-09-09,54.0100,54.2400,52.8500,53.1800,63663500
2011-09-12,52.5900,53.9000,52.5700,53.8600,65973000
2011-09-13,54.0600,54.6900,53.8000,54.5800,59020000
2011-09-14,54.8600,55.9800,54.3200,55.3600,90757300
2011-09-15,55.9600,56.2800,55.3900,56.1800,83536100
2011-09-16,56.2000,56.6500,56.0900,56.5900,91902100
2011-09-19,55.8900,56.9100,55.4300,56.6100,73042900
2011-09-20,56.9000,57.3500,56.2300,56.3600,66570100
2011-09-21,56.6500,56.9300,55.3700,55.3800,79938000
2011-09-22,53.9700,54.4600,52.7500,53.5800,151885500
2011-09-23,53.1300,54.3800,53.0900,54.1500,85940600
2011-09-26,54.4200,54.8800,53.2100,54.7800,96261400
2011-09-27,55.7100,56.2000,54.9800,55.3500,81148600
2011-09-28,55.5900,55.9700,54.4000,54.5300,76757100
2011-09-29,55.3600,55.4300,52.9700,53.8800,116900200
