Date,Open,High,Low,Close,Volume
2011-06-13,1.8713,1.9253,1.8587,1.8953,25701000
2011-06-14,1.9027,1.9800,1.9013,1.9067,23601000
2011-06-15,1.8960,1.8967,1.8047,1.8213,20175000
2011-06-16,1.8447,1.8667,1.7160,1.7667,27633000
2011-06-17,1.7913,1.8467,1.7427,1.7667,25710000
2011-06-20,1.7527,1.7640,1.7000,1.7340,23067000
2011-06-21,1.7493,1.8487,1.7333,1.8353,22440000
2011-06-22,1.8247,1.8833,1.8067,1.8140,22134000
2011-06-23,1.8133,1.8480,1.7473,1.8473,17550000
2011-06-24,1.8427,1.8647,1.8173,1.8380,54127500
2011-06-27,1.8487,1.8853,1.8207,1.8307,27141000
2011-06-28,1.8527,1.8833,1.8447,1.8740,13338000
2011-06-29,1.9000,1.9393,1.8713,1.8860,21927000
2011-06-30,1.9000,1.9553,1.8933,1.9420,14200500
2011-07-01,1.9380,1.9733,1.9200,1.9347,12823500
2011-07-05,1.9347,1.9680,1.9140,1.9427,14940000
2011-07-06,1.9427,1.9427,1.9033,1.9307,13903500
2011-07-07,1.9427,2.0000,1.9340,1.9820,19918500
2011-07-08,1.9927,1.9927,1.9060,1.9207,18609000
2011-07-11,1.8933,1.9020,1.8667,1.8900,14637000
2011-07-12,1.8913,1.9393,1.8667,1.8780,15681000
2011-07-13,1.8953,1.9353,1.8600,1.9093,15990000
2011-07-14,1.9020,1.9307,1.8167,1.8407,17385000
2011-07-15,1.8527,1.8553,1.8267,1.8387,10635000
2011-07-18,1.8227,1.8300,1.7753,1.8153,12778500
2011-07-19,1.8387,1.8740,1.8360,1.8593,15391500
2011-07-20,1.8667,2.0293,1.8533,1.9127,45724500
2011-07-21,1.9273,1.9440,1.8733,1.9133,15172500
2011-07-22,1.9133,1.9693,1.9033,1.9527,8752500
2011-07-25,1.9340,1.9500,1.8960,1.8993,10099500
2011-07-26,1.8873,1.9180,1.8647,1.8667,11409000
2011-07-27,1.9000,1.9000,1.8340,1.8427,14377500
2011-07-28,1.8400,1.9033,1.8360,1.8780,14080500
2011-07-29,1.8533,1.8933,1.8333,1.8780,14223000
2011-08-01,1.9113,1.9320,1.8807,1.9180,17473500
2011-08-02,1.9127,1.9467,1.8180,1.8227,23241000
2011-08-03,1.8333,1.8553,1.7560,1.8133,26917500
2011-08-04,1.7673,1.7927,1.6447,1.6500,45967500
2011-08-05,1.6660,1.6920,1.5220,1.6160,29466000
2011-08-08,1.5400,1.6293,1.5400,1.5760,39127500
2011-08-09,1.6100,1.6967,1.5800,1.6707,20001000
2011-08-10,1.6960,1.6960,1.5753,1.5880,23463000
2011-08-11,1.6027,1.7167,1.6000,1.6867,12547500
2011-08-12,1.7067,1.8093,1.6907,1.7540,15136500
2011-08-15,1.7747,1.7833,1.7287,1.7487,11079000
2011-08-16,1.7420,1.7693,1.7220,1.7400,8065500
2011-08-17,1.7593,1.7767,1.7007,1.7220,9655500
2011-08-18,1.6667,1.6767,1.5647,1.6173,15849000
2011-08-19,1.5907,1.6147,1.4667,1.4867,20629500
2011-08-22,1.5407,1.5867,1.4453,1.4633,14791500
2011-08-23,1.4620,1.5407,1.4333,1.5307,13035000
2011-08-24,1.5400,1.5953,1.5220,1.5913,10264500
2011-08-25,1.5913,1.5913,1.5267,1.5407,10197000
2011-08-26,1.5140,1.5967,1.4713,1.5820,11427000
2011-08-29,1.6147,1.6567,1.6013,1.6473,12051000
2011-08-30,1.6333,1.6513,1.6060,1.6420,5493000
2011-08-31,1.6533,1.7000,1.6187,1.6493,12357000
2011-09-01,1.6440,1.6580,1.5893,1.6000,12721500
2011-09-02,1.5773,1.5993,1.5120,1.5380,11548500
2011-09-06,1.5000,1.5467,1.4860,1.5293,12147000
2011-09-07,1.5593,1.6000,1.5520,1.5893,6888000
2011-09-08,1.5720,1.6020,1.5520,1.5740,7585500
2011-09-09,1.5580,1.5713,1.5033,1.5313,10039500
2011-09-12,1.5000,1.5540,1.4967,1.5253,8499000
2011-09-13,1.5340,1.6067,1.5167,1.6053,10897500
2011-09-14,1.6167,1.6560,1.5860,1.6227,12462000
2011-09-15,1.6387,1.6620,1.6220,1.6547,8439000
2011-09-16,1.6520,1.7227,1.6327,1.7200,21256500
2011-09-19,1.6633,1.7207,1.5880,1.7180,17361000
2011-09-20,1.7320,1.7733,1.7113,1.7340,17706000
2011-09-21,1.7300,1.7967,1.7133,1.7233,14814000
