Date,Open,High,Low,Close,Volume
2011-06-13,80.0000,80.6000,78.8400,79.2300,17854200
2011-06-14,80.0500,80.8200,79.9400,80.3800,16443400
2011-06-15,79.5300,79.8900,78.3700,78.6600,21713900
2011-06-16,78.5900,79.5100,78.3300,79.2200,19037500
2011-06-17,79.8500,79.9500,78.6900,79.0200,25441200
2011-06-20,78.6500,79.9500,78.6200,79.7100,15836400
2011-06-21,80.2300,81.1200,80.0100,80.5700,17897300
2011-06-22,80.1600,80.6700,79.5700,79.8200,18599700
2011-06-23,78.7400,78.7500,77.2300,78.4400,30032800
2011-06-24,78.5500,78.6300,76.7800,76.7800,36292700
2011-06-27,76.8800,78.4800,76.7200,77.9200,20606900
2011-06-28,78.5700,79.6600,78.3800,79.6300,18421500
2011-06-29,79.8500,80.5000,79.2200,80.2500,18899900
2011-06-30,80.3900,81.4100,80.2700,81.3800,19942100
2011-07-01,81.1900,82.0900,80.5900,82.0100,18050100
2011-07-05,81.3000,82.1200,81.2600,81.6000,18859600
2011-07-06,81.4000,81.6600,80.8500,81.5700,15042600
2011-07-07,82.2700,82.6000,81.8700,82.3600,18379200
2011-07-08,81.5800,82.5300,81.4600,82.4200,18336500
2011-07-11,81.3000,82.1100,81.1200,81.9000,20717000
2011-07-12,81.5100,83.0100,81.5000,81.8900,22639600
2011-07-13,82.2700,83.4600,82.0800,82.4800,19015100
2011-07-14,83.0500,83.1100,82.0900,82.2400,19413200
2011-07-15,82.4200,83.0900,82.2600,83.0000,22705100
2011-07-18,82.2900,82.8500,82.0800,82.6500,17343500
2011-07-19,82.9000,83.7600,82.8000,83.6300,16424900
2011-07-20,83.8400,83.8900,83.1700,83.3000,12808400
2011-07-21,83.8600,85.2400,83.7500,85.0200,21359700
2011-07-22,85.2000,85.4100,84.5400,85.2200,13152600
2011-07-25,84.2000,85.1300,84.2000,84.5700,14007600
2011-07-26,84.6700,85.1000,84.0400,84.3700,16226700
2011-07-27,83.7900,84.2500,83.2400,83.3100,19820600
2011-07-28,81.7400,82.4500,81.1500,81.4600,24556600
2011-07-29,80.7900,80.8800,79.7600,79.7900,26609000
2011-08-01,80.8200,81.1800,78.7400,79.6000,22864500
2011-08-02,78.9000,79.6100,77.8200,77.8400,28410500
2011-08-03,77.9400,78.1000,76.4600,77.7200,28373000
2011-08-04,76.6800,77.1300,73.5100,73.8400,42624200
2011-08-05,75.0100,75.7900,72.0700,74.8200,47167500
2011-08-08,72.7400,73.4400,69.9000,70.1900,58857600
2011-08-09,70.7900,71.8700,67.0300,71.6400,61753300
2011-08-10,70.7400,70.9900,67.4600,68.0300,47758300
2011-08-11,68.8100,72.4000,68.6300,71.5800,50328600
2011-08-12,72.3600,73.1000,71.6000,72.0000,31129000
2011-08-15,73.0400,74.3800,72.7500,74.2900,23388200
2011-08-16,73.3500,74.3400,72.8300,73.5000,26341400
2011-08-17,74.2900,74.7500,73.5000,74.1600,18269400
2011-08-18,72.4100,72.7900,70.2100,70.9400,35457700
2011-08-19,70.0700,71.9800,69.6700,69.8000,34935300
2011-08-22,72.1500,72.1600,69.5800,70.1800,27202900
2011-08-23,70.6000,73.8000,70.5200,73.6600,38059600
2011-08-24,72.9600,73.8600,72.2700,73.5400,22752900
2011-08-25,73.6400,73.9200,71.2700,71.7700,30924500
2011-08-26,70.8800,73.0000,70.2100,72.6400,26974400
2011-08-29,73.3300,74.2200,72.9800,74.1200,18967100
2011-08-30,73.5900,74.4000,72.9700,73.9100,22437000
2011-08-31,74.3600,74.8700,73.3400,74.0200,29189000
2011-09-01,74.1500,74.8600,73.4500,73.4900,23393500
2011-09-02,72.1100,72.6900,71.5000,72.1400,21071800
2011-09-06,70.1400,71.3200,69.9100,71.1500,25416300
2011-09-07,72.2400,73.6500,71.7500,73.6500,23108400
2011-09-08,73.3900,74.3400,72.5400,72.8200,22434800
2011-09-09,72.1700,72.5700,70.5900,71.0100,27969100
2011-09-12,70.3400,71.8900,69.8700,71.8400,26205800
2011-09-13,71.7600,71.9800,70.8100,71.6500,22825400
2011-09-14,71.9600,73.7600,71.1600,72.6400,26042800
2011-09-15,73.4300,74.0600,72.6800,74.0100,21858300
2011-09-16,74.5200,74.7500,73.5700,74.5500,34652600
2011-09-19,72.9100,74.1000,72.5000,73.7000,19822500
2011-09-20,73.8700,74.9800,73.4400,74.0100,20420000
2011-09-21,73.8800,74.2900,71.8300,71.9700,23806200
2011-09-22,69.9400,70.4600,68.1700,69.2400,43223000
2011-09-23,68.4600,70.1100,67.9300,69.3100,26583200
2011-09-26,70.0100,71.8900,69.5000,71.7200,30342400
2011-09-27,73.3300,74.3400,72.4200,72.9100,26689900
